651095.02,7536276.95,1220.72,4.062
651114.6,7536170.31,1217.13,3.49
651006.87,7536392.44,1234.4,4.968
650924.24,7536388.88,1251.24,3.617
650917.9,7536492.94,1242.57,3.911
650905.91,7536291.08,1256.81,3.954
650900.59,7536191.39,1255.32,3.101
650886.9,7536086.41,1248.89,4.234
650835.48,7536397.21,1266,3.946
650723.16,7536406.83,1284.96,3.653
650720.75,7536604.4,1285.66,4.187
650697.16,7536099.3,1273.25,4.182
650707.54,7536293.78,1281.08,2.795
650615.53,7536410.06,1303.07,3.558
650514.06,7536416.63,1318.4,2.674
650518.08,7536502.39,1320.77,3.617
650537.9,7536605.51,1317.64,3.928
650490.69,7536708.94,1315.79,3.41
650518.14,7536311.73,1314.2,3.472
650504.36,7536214.01,1313.51,3.328
650508.85,7536116.58,1309.13,3.192
650425.01,7536427.62,1328.36,3.637
650328.92,7536423.26,1337.14,3.589
650313.18,7536638.06,1336.84,3.318
650328.39,7536713.98,1331.86,2.942
650280.95,7536035.27,1337.92,3.436
650299.48,7536125.46,1337.89,3.595
650308.32,7536329.02,1339.44,3.164
650123.01,7536428.4,1352.08,3.119
650030.09,7536438.04,1358.15,3.454
650025.02,7536648.3,1351.6,3.058
650026.62,7536740.88,1349.35,2.322
650019.51,7536352.29,1359.26,2.469
649986.44,7536133.14,1355.24,3.254
649977.69,7535947.43,1354.39,2.935
649926.87,7536449.39,1364.04,2.402
649812.62,7536451.26,1371.03,3.143
649825.76,7536658.47,1361.71,2.152
649824.86,7536723.83,1359.57,3.085
649727.52,7536458.58,1376.95,3.157
649692.18,7535962.91,1369.18,2.141
649681.37,7536063.89,1371.1,3.1
649717.45,7536265.69,1377.14,3.365
649621.51,7536474.89,1385.08,3.196
649525.87,7536468.38,1395.33,3.223
649519.53,7536664.04,1392.69,1.848
649521.8,7536377.38,1392.77,3.825
649507.32,7536267.73,1387.29,3.602
649509.85,7536170.9,1382.37,3.034
649505.86,7536084.37,1379.31,2.827
649484.12,7535981.59,1385.87,3.648
649433.58,7536470.82,1404.28,3.092
649327.92,7536479.45,1413.36,2.883
649311.28,7536285.52,1399.77,3.009
649120.98,7536490.46,1458.14,2.842
649037.08,7536793.9,1507.93,2.884
648980.1,7536104.34,1481.02,2.788
648937.99,7536998.13,1546.13,1.857
648811.75,7536507.88,1494.51,1.434
648823.34,7536706.31,1497.86,2.503
648798.87,7536322.9,1492.98,1.804
648785.36,7536119.5,1498.91,1.841
648737.9579,7537016.431,1566.271774,1.995
648610.25,7536520.34,1503.35,1.503
648587.14,7536236.32,1515,0.875
648573.28,7535939.9,1564.32,1.549
648537.39,7537029.52,1580.05,0.9275
648547.48,7537232.12,1602.82,1.264
648339.23,7537040.77,1605.36,0.8805
648352.52,7537239.46,1618.96,0.7635
648379.09,7537431.37,1638.67,1.134
