TIMESTAMP,aT_05_avg,aT_1_avg,aT_2_avg,RH_05_avg,RH_1_avg,RH_2_avg,SW_avg,SWrefl_avg,LW_avg,LWout_avg,WS_avg,WS_std,WS_min,WS_max,WD_avg,WD_std,Prec_tot
2016-04-13 13:00,-10.7,-8.9,-9.5,39,28,NaN,576,446,188,282,1.6,0.6,0,6.2,186,30.5,0
2016-04-13 14:00,-10.7,-10,-9.8,38,29,NaN,502,387,189,278,2.7,1.2,0.4,7.6,228,47.9,0
2016-04-13 15:00,-11.3,-10.9,-10.4,48,39,NaN,401,300,190,275,4.9,1.2,1.5,8.2,262,14.8,0
2016-04-13 16:00,-12,-11.6,-11.1,57,47,NaN,233,171,188,271,6.9,0.9,4.7,9.4,264,10.6,0
2016-04-13 17:00,-12.7,-12.2,-11.8,65,55,NaN,33,31,188,267,7,1.1,4.3,10.3,257,11.8,0
2016-04-13 18:00,-12.4,-12.1,-11.7,65,57,NaN,20,16,192,267,6.4,1.7,3,12.1,272,20.4,0
2016-04-13 19:00,-12.5,-12,-11.6,65,55,NaN,5,4,188,267,7,1.4,2.3,10.8,285,15.9,0
2016-04-13 20:00,-12.2,-11.8,-11.5,61,53,NaN,NaN,0,188,263,4.7,2.2,0.7,9.3,286,35,0
2016-04-13 21:00,-12.7,-12.2,-11.8,60,52,NaN,NaN,0,188,257,2.8,1.3,0.1,8.3,279,39.2,0
2016-04-13 22:00,-12.6,-12,-11.6,58,50,NaN,NaN,0,188,257,3.6,1.4,0.8,7.4,288,32.1,0
2016-04-13 23:00,-13.2,-12.4,-11.9,55,47,NaN,NaN,0,190,254,2.4,1,0.1,6.5,257,39.9,0
2016-04-14 00:00,-14.1,-12.7,-12.2,56,46,NaN,NaN,0,189,246,1.4,0.7,0,3.6,267,58.7,0
2016-04-14 01:00,-14.3,-12.8,-12.3,54,45,NaN,NaN,0,185,240,1,0.5,0,3.6,50,58.5,0
2016-04-14 02:00,-15,-13.1,-12.7,58,48,NaN,NaN,0,185,234,0.7,0.4,0,1.8,346,50,0
2016-04-14 03:00,-13.4,-12.2,-11.7,42,33,NaN,NaN,1,200,245,2.3,1.1,0,6.4,286,41.2,0
2016-04-14 04:00,-12.4,-11.7,-11.2,39,30,NaN,19,12,219,260,3.2,1,0.5,5.5,262,22.8,0
2016-04-14 05:00,-12.9,-12,-11.5,40,31,NaN,78,65,218,257,1.6,0.5,0,3.6,173,31.4,0
2016-04-14 06:00,-13.8,-12.4,-11.8,47,34,NaN,177,148,213,259,1.4,0.5,0,2.9,250,33.5,0
2016-04-14 07:00,-12.4,-11.3,-10.9,46,32,NaN,338,279,200,263,1.5,0.5,0,3.3,225,33.2,0
2016-04-14 08:00,-10.4,-10,-9.7,42,31,NaN,443,363,236,279,0.6,0.3,0,1.7,NaN,42.1,0
2016-04-14 09:00,-9.7,-8.6,-9.3,40,29,NaN,386,324,265,287,0.4,0.3,0,1.4,NaN,23.3,0
2016-04-14 10:00,-10,-9.8,-9.5,41,32,NaN,427,351,257,288,0.9,0.5,0,2.6,92,42.4,0
2016-04-14 11:00,-10.1,-9.9,-9.8,45,35,NaN,429,356,262,289,1.3,0.4,0,2.6,75,30.6,0
2016-04-14 12:00,-9.7,-9.9,-9.6,39,30,NaN,433,358,262,289,2.3,0.8,0.7,5.9,97,41.1,0
2016-04-14 13:00,-10.9,-11.1,-10.8,62,54,NaN,384,322,269,288,2.2,0.6,0.2,4,43,23.3,0
2016-04-14 14:00,-10,-10,-9.7,47,38,NaN,276,236,276,287,4.1,1.7,0.5,10.2,276,39.3,0
2016-04-14 15:00,-10.5,-10.4,-10.2,57,48,NaN,202,176,278,286,3.3,1.5,0,9,280,49.7,0
2016-04-14 16:00,-11.7,-11.9,-11.7,77,69,NaN,145,126,278,284,2.5,0.7,0.4,5.5,94,29.9,0
2016-04-14 17:00,-11.6,-11.7,-11.5,77,69,NaN,91,78,275,283,1.9,0.6,0.4,4.2,119,26.7,0
2016-04-14 18:00,-11.2,-11.3,-11.1,79,71,NaN,32,28,281,285,1.6,0.7,0.1,4,97,30.6,0
2016-04-14 19:00,-10.8,-10.8,-10.6,83,75,NaN,4,4,285,286,2.3,0.9,0,4.6,107,30.9,0
2016-04-14 20:00,-10.5,-10.7,-10.5,84,76,NaN,0,0,287,287,2.3,1,0.1,4.6,109,30.7,0
2016-04-14 21:00,-10.6,-10.7,-10.5,85,78,NaN,0,0,287,287,2.9,1,1,4.9,89,27.9,0
2016-04-14 22:00,-10.4,-10.5,-10.3,86,79,NaN,0,0,288,288,2,0.9,0,4.5,135,33.2,0
2016-04-14 23:00,-10.2,-10.3,-10.2,87,79,NaN,0,0,288,289,2.1,1.3,0,5.8,119,57,0
2016-04-15 00:00,-10.2,-10.4,-10.2,88,81,NaN,0,0,288,288,2.2,1,0,6.5,185,39,0
2016-04-15 01:00,-10.2,-10.4,-10.2,88,81,NaN,0,0,285,288,2.2,1.1,0.2,5.5,172,48.3,0
2016-04-15 02:00,-10.6,-10.7,-10.4,87,81,NaN,0,0,270,280,1.4,0.5,0,3.4,99,36.6,0
2016-04-15 03:00,-11,-11.2,-10.9,87,81,NaN,0,0,280,280,0.6,0.4,0,2,252,38.4,0
2016-04-15 04:00,-11.4,-11.5,-11.2,87,81,NaN,7,7,282,282,0.7,0.4,0,1.8,NaN,38.1,0
2016-04-15 05:00,-10.8,-11.3,-11.1,86,79,NaN,90,78,283,285,0.8,0.4,0,1.8,49,40.2,0
2016-04-15 06:00,-9.4,-9.4,-9,85,78,NaN,210,173,254,279,1.8,1,0,5.4,176,55.9,0
2016-04-15 07:00,-9.3,-9.2,-8.7,85,78,NaN,287,236,235,277,1.5,0.7,0,4.1,118,65,0
2016-04-15 08:00,-7.9,-8,-7.6,85,77,NaN,351,301,253,288,0.9,0.5,0,2.2,209,48,0
2016-04-15 09:00,-6.6,-6.5,-6.3,85,69,NaN,379,322,261,294,0.5,0.4,0,1.6,NaN,34,0
2016-04-15 10:00,-4.4,NaN,-3.7,80,53,NaN,592,494,252,306,0.8,0.5,0,2.7,190,22.7,0.4
2016-04-15 11:00,-4.1,-4.1,-3.7,77,57,NaN,563,458,226,301,0.5,0.4,0,1.6,NaN,22.4,0.4
2016-04-15 12:00,-4.8,-4.2,-4.9,77,62,NaN,543,434,223,294,1.1,0.5,0,2.9,252,36.2,0
2016-04-15 13:00,-7.2,-6.8,-6.3,78,66,NaN,580,453,220,297,1.5,0.4,0,2.3,250,22.1,0
2016-04-15 14:00,-7.4,-6,-5.6,75,63,NaN,504,385,218,290,1.4,0.5,0,3,263,27.5,0.1
2016-04-15 15:00,-7.5,-6.1,-5.6,76,64,NaN,354,272,236,288,1,0.5,0,2.9,284,28.1,0
2016-04-15 16:00,-8.4,-9,-8.8,85,76,NaN,208,162,264,292,0.9,0.5,0,2.5,260,59.5,0
2016-04-15 17:00,-10.5,-10.2,-9.8,90,84,NaN,29,27,278,286,1.2,0.4,0,2.5,256,19.2,0
2016-04-15 18:00,-10.3,-10.4,-10,89,83,NaN,15,13,288,290,2.2,0.3,0.9,3.2,261,4.7,0
2016-04-15 19:00,-10.9,-10.9,-10.5,88,82,NaN,4,4,286,287,2.1,0.4,1.2,2.9,262,5.3,0
2016-04-15 20:00,-10,-10.1,-9.8,89,83,NaN,0,0,291,291,2.1,0.5,0.6,3.5,270,9.5,0
2016-04-15 21:00,-8.9,-8.9,-8.7,90,84,NaN,0,0,295,295,1.3,0.3,0.5,2.4,263,14.1,0
2016-04-15 22:00,-8.6,-8.7,-8.5,90,84,NaN,0,0,297,296,1.7,0.4,0.1,3.3,279,13.5,0
2016-04-15 23:00,-8.2,-8.3,-8.1,91,85,NaN,0,0,299,298,1.7,0.3,0.7,2.6,278,8.8,0
2016-04-16 00:00,-7.7,-7.8,-7.6,91,85,NaN,0,0,300,300,0.7,0.4,0,2.4,NaN,28.3,0
2016-04-16 01:00,-7.7,-7.8,-7.6,91,85,NaN,0,0,300,300,0.5,0.2,0,1.5,NaN,20.8,0
2016-04-16 02:00,-7.8,-7.8,-7.7,91,85,NaN,0,0,300,299,0.6,0.3,0,1.8,134,30.1,0
2016-04-16 03:00,-8.1,-8.1,-8,91,85,NaN,0,0,299,298,0.9,0.3,0,2.2,139,17.4,0
2016-04-16 04:00,-7.9,-8,-7.8,91,85,NaN,8,7,300,299,0.3,0.2,0,0.9,NaN,23.6,0
2016-04-16 05:00,-7.7,-7.7,-7.6,91,85,NaN,41,36,302,301,0.5,0.3,0,2,NaN,29.9,0
2016-04-16 06:00,-7.4,-7.4,-7.3,91,85,NaN,100,88,304,304,0.6,0.2,0,1.3,NaN,37,0
2016-04-16 07:00,-7,-7,-6.9,90,84,NaN,133,118,308,306,0.4,0.4,0,1.7,NaN,49.5,0
2016-04-16 08:00,-6.2,-6.2,-6.1,89,84,NaN,291,248,325,310,0.5,0.2,0,1.2,NaN,17,0
2016-04-16 09:00,-6.4,-6.6,-6.4,89,83,NaN,258,238,324,307,0.8,0.2,0,1.2,NaN,12.5,0
2016-04-16 10:00,-6.2,-6.2,-6.1,89,83,NaN,271,268,328,306,0.6,0.2,0,1.5,NaN,9,0
2016-04-16 11:00,-5.5,-5.5,-5.3,87,82,NaN,NaN,388,326,312,0.5,0.3,0,1.7,NaN,34.6,0.5
2016-04-16 12:00,-6.2,-6.4,-6.2,88,82,NaN,NaN,307,328,309,1.1,0.3,0,1.8,74,11.5,0.4
2016-04-16 13:00,-6.8,-7,-6.9,88,82,NaN,NaN,252,323,305,1.5,0.2,0.7,3,75,7.9,0
2016-04-16 14:00,-7,-7.4,-7.2,88,82,NaN,NaN,264,321,304,1.5,0.3,0,2.8,55,20.7,0
2016-04-16 15:00,-6.9,-7.4,-7.1,88,82,NaN,NaN,210,321,304,1,0.1,0.5,1.8,36,6.7,0
2016-04-16 16:00,-7.1,-7.2,-7,89,83,NaN,NaN,156,320,302,0.5,0.2,0,1.4,NaN,10.3,0
2016-04-16 17:00,-7,-6.4,-6.5,89,84,NaN,NaN,97,320,300,0.1,0.1,0,0.7,NaN,0,0
2016-04-16 18:00,-8.1,-8,-7.2,88,83,NaN,NaN,46,314,295,0.1,0.1,0,0.6,NaN,2.2,0
2016-04-16 19:00,-11.5,-9,-8.4,87,82,NaN,5,10,301,278,1.6,0.4,0.2,3.5,264,8.7,0
2016-04-16 20:00,-13,-10.3,-9.3,87,81,NaN,0,0,295,262,2.4,0.5,0.2,3.5,251,17.8,0
2016-04-16 21:00,-14.1,-10.1,-9.2,86,81,NaN,NaN,0,293,257,2.3,0.5,0.9,3.3,258,7.2,0
2016-04-16 22:00,-14.2,-10.4,-9.2,86,81,NaN,NaN,0,293,257,2.4,0.5,1.2,4.1,265,6.3,0
2016-04-16 23:00,-14.7,-10.3,-9.3,85,81,NaN,NaN,0,292,253,1.7,0.6,0.6,3.5,272,12.7,0
2016-04-17 00:00,-15.2,-10.1,-9.2,85,81,NaN,NaN,0,292,250,1.3,0.6,0,3,260,20.2,0
2016-04-17 01:00,-15.3,-10.3,-9.4,85,79,NaN,NaN,NaN,292,252,1.9,0.6,0.6,3.6,269,10.6,0
2016-04-17 02:00,-16,-10.5,-9.4,84,79,NaN,NaN,NaN,292,249,1.5,0.4,0.8,3.1,273,11.8,0
2016-04-17 03:00,-15.8,-10.2,-9.3,84,77,NaN,0,0,292,250,1.8,0.5,0.8,4,267,9,0
2016-04-17 04:00,-13.4,-10.2,-9.3,85,75,NaN,NaN,18,292,253,1.8,0.6,0.4,3.6,265,20.1,0
2016-04-17 05:00,-11.3,-8.5,-7.9,83,71,NaN,NaN,123,303,257,1.1,0.5,0,3.1,285,27.2,0
2016-04-17 06:00,-10,-7.2,-6.8,82,68,NaN,NaN,221,314,264,0.7,0.3,0,1.8,352,27.5,0
2016-04-17 07:00,-8.1,-6.7,-6.4,79,65,NaN,NaN,315,327,276,0.9,0.4,0,2.2,21,24.2,0
2016-04-17 08:00,-7.2,-7.9,-5.5,76,60,NaN,NaN,398,329,288,0.9,0.3,0,2.8,261,13.9,0
2016-04-17 09:00,-6.5,-5,-5.8,74,61,NaN,479,456,339,296,0.9,0.3,0,2,258,23,0.2
2016-04-17 10:00,-5.6,-4.6,-4.7,72,57,NaN,736,492,341,303,0.5,0.3,0,1.3,NaN,43.6,0.4
2016-04-17 11:00,-4.7,-4.5,-4.9,68,58,NaN,972,502,343,306,0.5,0.3,0,1.5,NaN,32.9,0.5
2016-04-17 12:00,-5.5,-5.5,-5.7,69,61,NaN,903,490,328,305,0.8,0.4,0,2.4,NaN,44.6,0.4
2016-04-17 13:00,-5.6,-5.3,-5.1,68,61,NaN,758,446,321,302,0.7,0.5,0,2.1,NaN,36,0.2
2016-04-17 14:00,-6.8,-6.1,-5.7,71,63,NaN,551,380,311,296,1.3,0.5,0,2.9,270,23.7,0.1
2016-04-17 15:00,-8.2,-7.4,-6.9,72,63,NaN,357,306,295,288,2.3,0.7,0,4,265,8.6,0
2016-04-17 16:00,-9.4,-8.8,-8.3,74,66,NaN,NaN,191,283,279,3.2,0.6,1,4.8,260,6.5,0
2016-04-17 17:00,-13.7,-11.4,-9.6,81,72,NaN,NaN,29,273,263,3.3,0.7,1.9,5.5,259,6,0
