TIMESTAMP,aT_05_avg,aT_1_avg,aT_2_avg,RH_05_avg,RH_1_avg,RH_2_avg,SW_avg,SWrefl_avg,LW_avg,LWout_avg,WS_avg,WS_std,WS_min,WS_max,WD_avg,WD_std,Prec_tot
2015-04-18 10:00,-2.6,-2,-2,79,NaN,73,431,412,278,322,9.5,1.6,5.3,13.5,285,10.5,0
2015-04-18 11:00,-1.7,-1.3,-1.3,70,NaN,67,643,625,261,326,6.1,2.4,1.2,12.5,282,22.5,0
2015-04-18 12:00,-2.1,-1.7,-1.7,72,NaN,70,566,548,259,324,6.4,1.8,2.3,10.8,290,15.4,0
2015-04-18 13:00,-1.3,-1.2,-1.2,69,NaN,68,589,570,246,325,2.6,1.5,0,9,210,47.8,0
2015-04-18 14:00,-2,-1.6,-1.7,75,NaN,72,449,431,262,323,5.4,2.3,0,14.2,292,41.1,0
2015-04-18 15:00,-2.7,-1.9,-1.9,87,NaN,77,258,240,292,323,11.7,2,3.5,17.9,269,16.9,0
2015-04-18 16:00,-2.8,-1.8,-1.7,88,NaN,76,111,93,264,320,12.9,2.2,7.1,19.6,270,14,0
2015-04-18 17:00,-2.3,-1.6,-1.6,83,NaN,76,68,50,302,321,7.9,2.9,0.7,17.2,214,40.9,0
2015-04-18 18:00,-2,-1.5,-1.5,80,NaN,74,38,19,315,323,4.7,2.5,0.3,10.2,256,69.5,0
2015-04-18 19:00,-2.2,-1.7,-1.7,81,NaN,77,8,2,322,323,6.1,2.7,1.6,15,131,82.7,0
2015-04-18 20:00,-2.2,-1.6,-1.6,82,NaN,76,0,NaN,319,323,6.4,3.2,1.1,14.4,163,78.3,0
2015-04-18 21:00,-2.1,-1.3,-1.3,82,NaN,73,0,NaN,316,323,7.9,3.5,2.9,19.8,271,69.7,0
2015-04-18 22:00,-2.2,-1.4,-1.4,83,NaN,70,0,NaN,312,322,7.8,4.3,0.3,17.2,278,67.3,0.8
2015-04-18 23:00,-2.6,-1.7,-1.7,83,NaN,72,0,NaN,311,321,9.1,3.9,1.7,22.3,246,71.5,3.2
2015-04-19 00:00,-3,-2.3,-2.3,84,NaN,75,0,NaN,310,319,7.2,3.6,0.4,17.1,136,67.5,1
2015-04-19 01:00,-2.6,-1.9,-1.9,86,NaN,76,0,NaN,314,321,7.8,4.3,1,19.9,181,73.9,2
2015-04-19 02:00,-3,-2.3,-2.3,89,NaN,77,0,NaN,315,320,8.3,3.7,0.5,20.4,174,79.6,1.5
2015-04-19 03:00,-3.1,-2.3,-2.4,88,NaN,76,1,NaN,314,320,9.9,5.2,1,24.7,251,71.9,0.4
2015-04-19 04:00,-3.2,-2.5,-2.5,86,NaN,73,9,NaN,313,319,8.9,3.9,2.4,18.1,152,85.7,0.4
2015-04-19 05:00,-3.2,-2.4,-2.5,81,NaN,70,50,67,304,317,9.6,4.4,1.4,28.1,108,71.1,2.7
2015-04-19 06:00,-2.9,-2.2,-2.3,79,NaN,68,264,245,308,319,8.1,4.1,1.2,25.2,63,74.5,0.8
2015-04-19 07:00,-2.6,-1.8,-2,77,NaN,65,458,440,306,321,9.6,4.3,2.4,22.1,149,58.5,2.2
2015-04-19 08:00,-2.6,-1.7,-1.8,79,NaN,65,581,562,300,322,12.8,4.4,3.3,22.1,258,35.9,3.6
2015-04-19 09:00,-2.8,-1.8,-1.9,78,NaN,64,686,667,291,322,13.2,3.7,5.2,21.5,262,30.1,14.6
2015-04-19 10:00,-2.7,-1.8,-1.8,75,NaN,62,718,700,280,322,11.9,4.1,3.7,22.5,254,40,8.8
2015-04-19 11:00,-3.1,-2.2,-2.2,77,NaN,62,693,675,280,321,13.6,4.4,3.6,23.2,252,27.8,8.9
2015-04-19 12:00,-3.1,-2.3,-2.2,78,NaN,62,619,600,276,319,13.6,4.7,2.5,27.9,241,35.6,11
2015-04-19 13:00,-3.3,-2.4,-2.3,74,NaN,58,512,494,262,317,12.7,4.9,3.2,24.7,255,42.1,9.2
2015-04-19 14:00,-3.4,-2.5,-2.4,72,NaN,57,332,313,257,314,12.5,4.4,1.1,25.3,247,37.1,9.4
2015-04-19 15:00,-3.2,-2.2,-2.2,72,NaN,59,166,147,257,313,10.4,4.6,0.7,24.1,255,51.2,6
2015-04-19 16:00,-2.7,-2,-2,68,NaN,58,94,76,249,311,7.7,3.8,0.3,18.6,228,51.7,1.4
2015-04-19 17:00,-2.9,-2.2,-2.1,66,NaN,57,56,37,242,310,8.3,3.7,1.6,18.6,252,45.7,2.5
2015-04-19 18:00,-2.5,-1.8,-1.7,64,NaN,57,31,15,243,310,7.6,3.6,1.6,16.5,247,60.3,0
