162,165,3,0,0,0.468686869,163.5,1.65,0.014060606,0.622545455,5
165,168,3,0,0,0.403030303,166.5,1.68,0.012090909,0.634636364,5
168,171,3,0,0,0.376767677,169.5,1.71,0.01130303,0.645939394,5
171,174,3,0,0,0.363636364,172.5,1.74,0.010909091,0.656848485,5
174,177,3,0,0,0.348484848,175.5,1.77,0.010454545,0.66730303,5
177,180,3,0,0,0.353535354,178.5,1.8,0.010606061,0.677909091,5
180,183,3,0,0,0.388888889,181.5,1.83,0.011666667,0.689575758,5
183,186,3,0,0,0.412121212,184.5,1.86,0.012363636,0.701939394,5
186,189,3,0,0,0.428282828,187.5,1.89,0.012848485,0.714787879,5
189,192,3,0,0,0.383838384,190.5,1.92,0.011515152,0.72630303,5
192,195,3,0,0,0.4,193.5,1.95,0.012,0.73830303,5
195,198,3,0,0,0.451515152,196.5,1.98,0.013545455,0.751848485,5
198,201,3,0,0,0.447474747,199.5,2.01,0.013424242,0.765272727,5
201,204,3,0,0,0.460606061,202.5,2.04,0.013818182,0.779090909,5
204,207,3,0,0,0.425252525,205.5,2.07,0.012757576,0.791848485,5
207,210,3,0,0,0.374747475,208.5,2.1,0.011242424,0.803090909,5
210,213,3,0,0,0.450505051,211.5,2.13,0.013515152,0.816606061,5
213,216,3,0,0,0.461616162,214.5,2.16,0.013848485,0.830454545,5
216,219,3,0,0,0.382828283,217.5,2.19,0.011484848,0.841939394,5
219,222,3,0,0,0.424242424,220.5,2.22,0.012727273,0.854666667,5
222,225,3,0,0,0.518181818,223.5,2.25,0.015545455,0.870212121,5
225,228,3,0,0,0.284848485,226.5,2.28,0.008545455,0.878757576,5
228,231,3,0,0,0.353535354,229.5,2.31,0.010606061,0.889363636,5
231,234,3,0,0,0.4,232.5,2.34,0.012,0.901363636,5
234,237,3,0,0,0.404040404,235.5,2.37,0.012121212,0.913484848,5
237,240,3,0,0,0.431313131,238.5,2.4,0.012939394,0.926424242,5
240,243,3,0,0,0.401010101,241.5,2.43,0.012030303,0.938454545,5
243,246,3,0,0,0.406060606,244.5,2.46,0.012181818,0.950636364,5
246,249,3,0,0,0.609090909,247.5,2.49,0.018272727,0.968909091,5
249,252,3,0,0,0.396969697,250.5,2.52,0.011909091,0.980818182,5
252,255,3,0,0,0.376767677,253.5,2.55,0.01130303,0.992121212,5
255,258,3,0,0,0.415151515,256.5,2.58,0.012454545,1.004575758,5
258,261,3,0,0,0.408080808,259.5,2.61,0.012242424,1.016818182,5
261,264,3,0,0,0.449494949,262.5,2.64,0.013484848,1.03030303,5
264,267,3,0,0,0.408080808,265.5,2.67,0.012242424,1.042545455,5
267,270,3,0,0,0.438383838,268.5,2.7,0.013151515,1.05569697,5
270,273,3,0,0,0.51010101,271.5,2.73,0.01530303,1.071,5
273,276,3,0,0,0.649494949,274.5,2.76,0.019484848,1.090484848,5
276,279,3,0,0,0.585858586,277.5,2.79,0.017575758,1.108060606,5
279,282,3,0,0,0.51010101,280.5,2.82,0.01530303,1.123363636,5
282,285,3,0,0,0.380808081,283.5,2.85,0.011424242,1.134787879,5
285,288,3,0,0,0.478787879,286.5,2.88,0.014363636,1.149151515,5
288,291,3,0,0,0.515151515,289.5,2.91,0.015454545,1.164606061,5
291,294,3,0,0,0.266666667,292.5,2.94,0.008,1.172606061,5
294,297,3,0,0,0.458585859,295.5,2.97,0.013757576,1.186363636,5
297,300,3,0,0,0.375757576,298.5,3,0.011272727,1.197636364,5
