651331,7536463,90
651225,7536370,172
651220,7536269,95
651217,7536220,205
651126,7536376,110
651131,7536475,160
651120,7536275,150
651114,7536176,170
651111,7536126,130
651026,7536381,100
651031,7536481,100
651020,7536282,95
651014,7536183,148
650926,7536387,45
650931,7536485,80
650937,7536586,190
650920,7536287,50
650914,7536187,40
650909,7536086,110
650906,7536038,150
650827,7536393,80
650831,7536493,105
650820,7536293,45
650814,7536193,40
650808,7536092,100
650806,7536043,160
650727,7536399,80
650732,7536497,105
650721,7536298,60
650715,7536199,50
650709,7536099,95
650706,7536050,150
650626,7536404,110
650632,7536504,98
650638,7536604,107
650644,7536703,144
650621,7536303,128
650615,7536205,138
650609,7536104,143
650526,7536410,94
650532,7536510,55
650538,7536610,57
650544,7536708,135
650521,7536310,146
650515,7536211,180
650509,7536110,152
650426,7536417,75
650432,7536516,45
650439,7536616,53
650443,7536715,138
650447,7536765,178
650421,7536316,51
650415,7536216,82
650409,7536117,76
650404,7536016,161
650327,7536423,75
650333,7536522,70
650339,7536621,90
650344,7536721,157
650347,7536771,176
650322,7536321,50
650316,7536221,51
650310,7536122,88
650305,7536021,145
650301,7535972,197
650227,7536427,77
650233,7536527,80
650239,7536628,74
650244,7536725,145
650247,7536776,168
650222,7536326,110
650216,7536227,102
650210,7536128,108
650204,7536027,89
650201,7535979,115
650127,7536432,105
650133,7536533,97
650139,7536633,82
650144,7536732,130
650148,7536782,210
650121,7536334,106
650116,7536233,87
650110,7536133,105
650104,7536034,63
650101,7535984,98
650027,7536439,120
650033,7536539,110
650039,7536639,105
650044,7536737,124
650048,7536788,160
650021,7536339,100
650016,7536239,128
650010,7536139,115
650004,7536039,92
649999,7535939,135
649928,7536444,112
649934,7536545,86
649939,7536642,139
649945,7536743,160
649948,7536793,170
649922,7536344,116
649917,7536245,137
649910,7536145,125
649904,7536045,107
649899,7535945,137
649896,7535894,165
649828,7536449,135
649834,7536550,129
649839,7536650,134
649845,7536749,187
649822,7536350,123
649817,7536251,114
649811,7536151,113
649805,7536050,110
649800,7535951,131
649796,7535901,180
649728,7536455,134
649734,7536556,140
649739,7536655,126
649745,7536755,140
649722,7536356,125
649717,7536256,124
649711,7536157,122
649705,7536056,123
649699,7535956,155
649696,7535906,185
649628,7536460,156
649634,7536561,157
649639,7536661,173
649622,7536361,118
649617,7536261,125
649611,7536162,118
649605,7536062,139
649599,7535962,180
649597,7535912,222
649529,7536467,149
649535,7536567,163
649539,7536666,108
649522,7536367,141
649516,7536267,134
649511,7536168,110
649505,7536068,148
649499,7535968,255
649429,7536473,148
649435,7536573,152
649440,7536672,280
649423,7536373,136
649417,7536274,126
649412,7536174,144
649406,7536074,168
649400,7535974,470
649329,7536478,149
649334,7536579,180
649340,7536679,60
649323,7536378,145
649317,7536279,145
649312,7536179,222
649306,7536079,380
649234,7536584,190
649240,7536684,160
649223,7536385,180
649217,7536285,230
649212,7536185,210
649206,7536085,240
649134,7536590,180
649141,7536690,150
649147,7536790,200
649123,7536391,170
649117,7536291,130
649112,7536192,130
649106,7536091,190
649104,7536041,260
649030,7536496,220
649035,7536597,230
649041,7536696,175
649047,7536796,134
649052,7536895,200
649058,7536995,242
649024,7536396,165
649018,7536296,170
649012,7536197,200
649006,7536096,200
648930,7536501,230
648935,7536601,250
648941,7536701,250
648947,7536801,238
648952,7536899,280
648958,7537001,210
648964,7537101,250
648924,7536403,250
648918,7536302,230
648912,7536202,220
648907,7536102,220
648901,7536002,250
648895,7535903,240
648830,7536506,250
648835,7536607,250
648841,7536707,235
648847,7536807,200
648852,7536905,220
648858,7537006,220
648864,7537106,250
648869,7537206,230
648824,7536409,250
648818,7536308,260
648812,7536207,250
648807,7536108,240
648801,7536008,240
648795,7535909,255
648729,7536512,290
648735,7536613,285
648741,7536713,255
648753,7536913,250
648759,7537012,250
648764,7537112,300
648770,7537212,280
648776,7537311,270
648724,7536413,310
648718,7536314,300
648712,7536213,280
648707,7536113,280
648701,7536013,265
648695,7535914,310
648630,7536518,300
648636,7536618,270
648653,7536919,270
648659,7537018,300
648665,7537118,270
648670,7537218,250
648676,7537318,300
648682,7537417,350
648625,7536418,260
648618,7536318,210
648612,7536219,365
648607,7536119,300
648601,7536020,280
648595,7535920,280
648553,7536923,310
648559,7537023,320
648565,7537122,400
648570,7537223,310
648576,7537323,350
648582,7537423,330
648487,7537528,410
648442,7536730,380
648447,7536830,360
648453,7536930,340
648459,7537029,310
648464,7537128,300
648470,7537229,310
648476,7537329,310
648482,7537428,310
648336,7536636,450
648388,7537533,526
648342,7536736,400
648347,7536836,360
648353,7536935,350
648359,7537035,360
648364,7537135,370
648370,7537235,380
648376,7537334,350
648382,7537435,430
648243,7536741,460
648248,7536841,450
648254,7536941,450
648260,7537040,400
648265,7537140,420
648271,7537241,390
648277,7537340,380
