651325,7536365,383,3.83
651331,7536463,468,4.68
651225,7536370,277,2.77
651231,7536468,235,2.35
651220,7536269,389,3.89
651217,7536220,310,3.1
651126,7536376,160,1.6
651131,7536475,129,1.29
651120,7536275,219,2.19
651114,7536176,187,1.87
651111,7536126,336,3.36
651026,7536381,135,1.35
651031,7536481,203,2.03
651037,7536582,180,1.8
651020,7536282,168,1.68
651014,7536183,246,2.46
651009,7536081,346,3.46
650926,7536387,119,1.19
650931,7536485,185,1.85
650937,7536586,440,4.4
650920,7536287,75,0.75
650914,7536187,98,0.98
650909,7536086,253,2.53
650906,7536038,345,3.45
650827,7536393,97,0.97
650831,7536493,165,1.65
650837,7536592,278,2.78
650820,7536293,89,0.89
650814,7536193,61,0.61
650808,7536092,165,1.65
650806,7536043,235,2.35
650727,7536399,128,1.28
650732,7536497,165,1.65
650738,7536598,239,2.39
650744,7536697,195,1.95
650721,7536298,134,1.34
650715,7536199,113,1.13
650709,7536099,177,1.77
650706,7536050,308,3.08
650626,7536404,138,1.38
650632,7536504,78,0.78
650638,7536604,167,1.67
650644,7536703,165,1.65
650621,7536303,248,2.48
650615,7536205,389,3.89
650609,7536104,347,3.47
650604,7536005,229,2.29
650526,7536410,97,0.97
650532,7536510,48,0.48
650538,7536610,64,0.64
650544,7536708,210,2.1
650521,7536310,120,1.2
650515,7536211,211,2.11
650509,7536110,237,2.37
650504,7536012,209,2.09
650426,7536417,70,0.7
650432,7536516,53,0.53
650439,7536616,101,1.01
650443,7536715,199,1.99
650447,7536765,311,3.11
650421,7536316,47,0.47
650415,7536216,59,0.59
650409,7536117,102,1.02
650404,7536016,99,0.99
650327,7536423,76,0.76
650333,7536522,54,0.54
650339,7536621,78,0.78
650344,7536721,109,1.09
650347,7536771,153,1.53
650322,7536321,62,0.62
650316,7536221,40,0.4
650310,7536122,100,1
650305,7536021,112,1.12
650301,7535972,206,2.06
650227,7536427,108,1.08
650233,7536527,62,0.62
650239,7536628,56,0.56
650244,7536725,94,0.94
650247,7536776,133,1.33
650222,7536326,106,1.06
650216,7536227,98,0.98
650210,7536128,94,0.94
650204,7536027,144,1.44
650201,7535979,228,2.28
650127,7536432,117,1.17
650133,7536533,98,0.98
650139,7536633,83,0.83
650144,7536732,178,1.78
650148,7536782,295,2.95
650121,7536334,139,1.39
650116,7536233,116,1.16
650110,7536133,109,1.09
650104,7536034,120,1.2
650101,7535984,190,1.9
650027,7536439,118,1.18
650033,7536539,120,1.2
650039,7536639,121,1.21
650044,7536737,193,1.93
650048,7536788,267,2.67
650021,7536339,123,1.23
650016,7536239,132,1.32
650010,7536139,155,1.55
650004,7536039,136,1.36
649999,7535939,218,2.18
649928,7536444,140,1.4
649934,7536545,126,1.26
649939,7536642,152,1.52
649945,7536743,223,2.23
649948,7536793,273,2.73
649922,7536344,140,1.4
649917,7536245,141,1.41
649910,7536145,168,1.68
649904,7536045,160,1.6
649899,7535945,174,1.74
649896,7535894,193,1.93
649828,7536449,158,1.58
649834,7536550,157,1.57
649839,7536650,187,1.87
649845,7536749,287,2.87
649822,7536350,140,1.4
649817,7536251,115,1.15
649811,7536151,128,1.28
649805,7536050,126,1.26
649800,7535951,186,1.86
649796,7535901,209,2.09
649728,7536455,176,1.76
649734,7536556,191,1.91
649739,7536655,198,1.98
649745,7536755,336,3.36
649722,7536356,132,1.32
649717,7536256,128,1.28
649711,7536157,117,1.17
649705,7536056,109,1.09
649699,7535956,164,1.64
649696,7535906,231,2.31
649628,7536460,205,2.05
649634,7536561,221,2.21
649639,7536661,277,2.77
649622,7536361,155,1.55
649617,7536261,145,1.45
649611,7536162,151,1.51
649605,7536062,145,1.45
649599,7535962,203,2.03
649597,7535912,260,2.6
649529,7536467,200,2
649535,7536567,218,2.18
649539,7536666,399,3.99
649522,7536367,175,1.75
649516,7536267,167,1.67
649511,7536168,141,1.41
649505,7536068,149,1.49
649499,7535968,271,2.71
649429,7536473,197,1.97
649435,7536573,218,2.18
649440,7536672,340,3.4
649423,7536373,147,1.47
649417,7536274,153,1.53
649412,7536174,153,1.53
649406,7536074,165,1.65
649400,7535974,197,1.97
649329,7536478,255,2.55
649334,7536579,244,2.44
649340,7536679,74,0.74
649323,7536378,204,2.04
649317,7536279,248,2.48
649312,7536179,269,2.69
649306,7536079,366,3.66
649229,7536483,308,3.08
649234,7536584,298,2.98
649240,7536684,222,2.22
649246,7536785,227,2.27
649223,7536385,273,2.73
649217,7536285,315,3.15
649212,7536185,253,2.53
649206,7536085,261,2.61
649129,7536490,263,2.63
649134,7536590,276,2.76
649141,7536690,214,2.14
649147,7536790,308,3.08
649151,7536889,247,2.47
649123,7536391,269,2.69
649117,7536291,198,1.98
649112,7536192,188,1.88
649106,7536091,235,2.35
649104,7536041,265,2.65
649030,7536496,406,4.06
649035,7536597,269,2.69
649041,7536696,348,3.48
649047,7536796,294,2.94
649052,7536895,314,3.14
649058,7536995,279,2.79
649024,7536396,260,2.6
649018,7536296,261,2.61
649012,7536197,329,3.29
649006,7536096,184,1.84
649000,7535995,238,2.38
648930,7536501,293,2.93
648935,7536601,336,3.36
648941,7536701,305,3.05
648947,7536801,312,3.12
648952,7536899,224,2.24
648958,7537001,229,2.29
648964,7537101,390,3.9
648924,7536403,269,2.69
648918,7536302,312,3.12
648912,7536202,234,2.34
648907,7536102,217,2.17
648901,7536002,280,2.8
648830,7536506,198,1.98
648835,7536607,439,4.39
648841,7536707,435,4.35
648847,7536807,355,3.55
648852,7536905,318,3.18
648858,7537006,266,2.66
