1617610;7537105;592
1617503;7537014;338
1617511;7537112;425
1617493;7536864;562
1617404;7537021;142
1617411;7537120;135
1617397;7536919;210
1617390;7536821;392
1617386;7536771;510
1617304;7537027;80
1617311;7537127;163
1617318;7537228;425
1617297;7536928;105
1617290;7536828;165
1617283;7536727;373
1617204;7537035;60
1617211;7537133;205
1617222;7537284;555
1617197;7536934;64
1617190;7536835;70
1617183;7536734;192
1617180;7536686;265
1617105;7537042;100
1617111;7537142;195
1617118;7537241;315
1617097;7536942;10
1617090;7536841;50
1617083;7536741;110
1617080;7536692;268
1617005;7537049;120
1617012;7537146;111
1617019;7537247;232
1617026;7537347;562
1616998;7536948;153
1616991;7536848;132
1616984;7536749;200
1616980;7536699;310
1616905;7537056;110
1616912;7537156;40
1616919;7537255;140
1616926;7537353;330
1616898;7536954;251
1616891;7536857;326
1616884;7536756;368
1616877;7536657;328
1616805;7537063;100
1616812;7537163;10
1616819;7537263;65
1616826;7537360;278
1616798;7536963;70
1616791;7536864;166
1616784;7536762;180
1616777;7536665;285
1616705;7537071;53
1616712;7537170;32
1616720;7537270;62
1616726;7537369;24
1616698;7536969;32
1616691;7536870;15
1616684;7536771;50
1616677;7536670;160
1616606;7537078;170
1616613;7537177;65
1616620;7537276;35
1616627;7537376;110
1616599;7536976;50
1616592;7536877;17
1616585;7536778;45
1616578;7536676;80
1616506;7537084;100
1616513;7537183;70
1616520;7537285;70
1616527;7537382;230
1616499;7536983;95
1616492;7536883;60
1616485;7536785;60
1616478;7536683;30
1616406;7537089;80
1616413;7537191;105
1616420;7537291;140
1616427;7537390;240
1616399;7536992;105
1616392;7536890;50
1616385;7536791;45
1616378;7536691;50
1616306;7537097;102
1616313;7537198;135
1616320;7537298;158
1616327;7537395;233
1616299;7536998;100
1616292;7536897;80
1616285;7536799;105
1616278;7536698;63
1616271;7536599;130
1616207;7537104;125
1616214;7537206;148
1616221;7537303;192
1616228;7537404;275
1616200;7537005;138
1616193;7536905;120
1616185;7536806;113
1616178;7536705;45
1616171;7536606;118
1616107;7537111;143
1616114;7537212;170
1616121;7537312;210
1616128;7537410;351
1616100;7537011;117
1616093;7536913;90
1616086;7536813;46
1616079;7536712;104
1616072;7536613;170
1616007;7537118;210
1616014;7537218;257
1616021;7537317;315
1616028;7537417;475
1616000;7537018;162
1615993;7536919;120
1615986;7536819;110
1615979;7536720;100
1615972;7536620;170
1615968;7536569;252
1615907;7537124;235
1615914;7537225;315
1615921;7537325;391
1615900;7537026;170
1615893;7536926;130
1615886;7536826;105
1615879;7536727;160
1615872;7536627;208
1615869;7536576;200
1615808;7537133;245
1615815;7537232;345
1615821;7537331;545
1615800;7537033;188
1615793;7536932;158
1615786;7536834;160
1615779;7536734;180
1615772;7536634;355
1615708;7537140;270
1615715;7537240;350
1615722;7537338;600
1615701;7537040;182
1615694;7536941;190
1615687;7536841;190
1615680;7536741;222
1615608;7537146;397
1615615;7537247;443
1615622;7537347;353
1615601;7537047;245
1615594;7536948;453
1615587;7536848;270
1615508;7537153;511
1615515;7537254;356
1615522;7537353;265
1615501;7537055;263
1615494;7536954;370
1615487;7536855;60
1615480;7536755;285
1615408;7537161;575
1615415;7537261;407
1615423;7537360;310
1615430;7537461;285
1615436;7537559;930
1615401;7537062;295
1615394;7536961;189
1615387;7536863;110
1615380;7536761;198
1615309;7537168;610
1615316;7537269;505
1615323;7537367;475
1615330;7537468;523
1615337;7537566;485
1615344;7537667;452
1615302;7537068;415
1615295;7536969;252
1615288;7536870;205
1615280;7536768;172
1615273;7536667;255
1615209;7537174;390
1615216;7537275;530
1615223;7537375;655
1615230;7537475;610
1615237;7537572;515
1615244;7537674;445
1615251;7537773;357
1615202;7537077;375
1615195;7536975;306
1615188;7536876;370
1615174;7536676;200
1615167;7536576;225
1615109;7537181;760
1615116;7537282;668
1615123;7537382;490
1615130;7537482;370
1615137;7537580;494
1615144;7537681;470
1615151;7537780;675
1615158;7537881;946
1615102;7537084;800
1615095;7536982;405
1615088;7536881;620
1615081;7536783;662
1615074;7536682;493
1615067;7536583;230
1615060;7536484;408
1615009;7537188;531
1615016;7537289;650
1615023;7537389;510
1615030;7537489;708
1615038;7537588;475
1615045;7537688;807
1615051;7537788;917
1615059;7537888;655
1615066;7537987;538
1615002;7537088;565
1614995;7536989;605
1614988;7536888;890
1614981;7536790;895
1614974;7536689;510
1614967;7536591;195
1614960;7536491;604
1614910;7537196;865
1614924;7537395;512
1614931;7537496;666
1614938;7537596;555
1614945;7537695;956
1614952;7537795;960
1614959;7537895;573
1614966;7537994;840
1614973;7538094;730
1614888;7536896;1375
1614838;7537602;1160
1614845;7537702;970
1614852;7537801;884
1614859;7537902;1143
1614866;7538002;1078
1614873;7538100;1118
1614780;7538208;1130
1614731;7537509;1522
1614738;7537610;700
1614752;7537808;1330
1614759;7537909;985
1614766;7538009;892
1614773;7538107;1271
1614681;7538213;1460
1614624;7537417;945
1614631;7537516;1395
1614638;7537616;1109
1614659;7537916;1701
1614666;7538015;1340
1614674;7538116;1539
1614532;7537523;1701
1614539;7537624;1633
1614546;7537722;988
1614553;7537823;1234
1614560;7537923;1422
1614567;7538022;1440
